wave,COUNTRY_ALPHA,F063,E033,A170,E023,A006,A001,E069_11,E069_12,D059,A008,E012,E114,E124,G006,X003R,A029,A041,A042,A003,A035,A034
3,LVA,5.79496090356212,5.413903743315508,4.898319327731093,0.07916666666666666,0.1225,0.6783333333333333,0.029166666666666667,0.0033333333333333335,0.21,0.04416666666666667,0.545,0.12416666666666666,0.0225,0.17333333333333334,0.1625,0.37833333333333335,0.2025,0.19416666666666665,0.19666666666666666,0.725,0.095
3,MDA,6.988717948717949,5.002554278416348,3.725050916496945,0.06300813008130081,0.3048780487804878,0.7896341463414634,0.0508130081300813,0.012195121951219513,0.23272357723577236,0.03556910569105691,0.7195121951219512,0.2459349593495935,0.007113821138211382,0.35264227642276424,0.13922764227642276,0.358739837398374,0.09349593495934959,0.3943089430894309,0.2225609756097561,0.6341463414634146,0.1290650406504065
3,MEX,8.215096860387442,5.823204419889502,7.686577181208054,0.09470198675496688,0.4543046357615894,0.743046357615894,0.09602649006622517,0.04966887417218543,0.123841059602649,0.3152317880794702,0.5887417218543046,0.10397350993377484,0.0,0.714569536423841,0.2576158940397351,0.3980132450331126,0.3827814569536424,0.4986754966887417,0.35496688741721855,0.5728476821192053,0.2768211920529801
3,MKD,6.578835978835979,5.106508875739645,5.701736465781409,0.06331658291457286,0.33768844221105526,0.9748743718592965,0.044221105527638194,0.027135678391959798,0.19195979899497487,0.13366834170854272,0.6924623115577889,0.264321608040201,0.0,0.5326633165829145,0.13969849246231156,0.6190954773869347,0.6050251256281407,0.18391959798994975,0.4552763819095477,0.7055276381909548,0.12060301507537688
3,MNE,5.677272727272728,4.306010928961749,6.210300429184549,0.1,0.2375,0.8833333333333333,0.14166666666666666,0.041666666666666664,0.275,0.1375,0.7666666666666667,0.12083333333333333,0.0,0.42083333333333334,0.125,0.5208333333333334,0.3333333333333333,0.4083333333333333,0.25416666666666665,0.6416666666666667,0.17083333333333334
3,NGA,9.627766599597585,5.560555555555555,6.59175465057818,0.13677354709418837,0.9113226452905812,0.9754509018036072,0.12024048096192384,0.09468937875751503,0.44639278557114226,0.4619238476953908,0.5546092184368737,0.12274549098196393,0.0,0.6202404809619239,0.25250501002004005,0.1963927855711423,0.14428857715430862,0.7069138276553106,0.5090180360721442,0.6372745490981964,0.061122244488977955
3,NOR,4.652678571428571,5.5733819507748406,7.658035714285714,0.11357586512866016,0.12067435669920142,0.8775510204081632,0.06654835847382432,0.005323868677905945,0.04791481810115351,0.2990239574090506,0.8660159716060337,0.018633540372670808,0.0,0.49955634427684115,0.12599822537710736,0.8855368234250222,0.11180124223602485,0.259094942324756,0.3895297249334516,0.6592724046140195,0.36645962732919257
3,NZL,5.671064204045734,5.786396181384248,7.701365187713311,0.13738551207327226,0.18984179850124897,0.925895087427144,0.02331390507910075,0.009991673605328892,0.041631973355537054,0.32805995004163196,0.47127393838467946,0.05661948376353039,0.0,0.6036636136552873,0.09492089925062448,0.537052456286428,0.32722731057452126,0.2189841798501249,0.4496253122398002,0.7793505412156536,0.2781015820149875
3,PAK,9.76944065484311,,,0.0,0.7858117326057299,0.8130968622100955,0.0,0.03274215552523874,0.5170532060027285,0.2837653478854025,0.0,0.41882673942701226,0.0,0.8540245566166439,0.16371077762619374,0.2155525238744884,0.3533424283765348,0.330150068212824,0.12278308321964529,0.5375170532060027,0.07639836289222374
3,PER,9.017529215358932,5.812045690550363,6.361880772460117,0.07184145334434351,0.532617671345995,0.8744838976052849,0.1337737407101569,0.018992568125516102,0.0685383980181668,0.2815854665565648,0.8513625103220479,0.10156895127993394,0.0,0.7952105697770437,0.2667217175887696,0.20809248554913296,0.15606936416184972,0.5012386457473162,0.28488852188274155,0.630057803468208,0.18579686209744012
